path,clean_path,language,gender,status,error,samples,seconds,clipping_ratio,language_id,gender_id
dataset\Italian\Female\810104250_female_italian_voice4.mp3,processed_audio\Italian\Female\810104250_female_italian_voice4.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Italian\Female\810101502_female_italian_voice13.mp3.mp3,processed_audio\Italian\Female\810101502_female_italian_voice13.mp3.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\German\Male\810103040_male_german_voice7.mp3,processed_audio\German\Male\810103040_male_german_voice7.wav,German,Male,ok,,960000,60.0,1.0416666666666667e-06,0,1
dataset\Italian\Male\810101441_male_italian_voice20.mp3,processed_audio\Italian\Male\810101441_male_italian_voice20.wav,Italian,Male,ok,,960000,60.0,1.0416666666666667e-06,1,1
dataset\Korean\Female\810100094_female_korean_voice04.mp3,processed_audio\Korean\Female\810100094_female_korean_voice04.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\German\Male\810104119_male_german_voice07.mp3,processed_audio\German\Male\810104119_male_german_voice07.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\German\Male\810104119_male_german_voice04.mp3,processed_audio\German\Male\810104119_male_german_voice04.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\German\Female\810102543_female_german_voice06.mp3,processed_audio\German\Female\810102543_female_german_voice06.wav,German,Female,ok,,960000,60.0,0.0,0,0
dataset\Italian\Female\810101502_female_italian_voice17.mp3.mp3,processed_audio\Italian\Female\810101502_female_italian_voice17.mp3.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Korean\Male\810101459_male_korean_voice17.mp3,processed_audio\Korean\Male\810101459_male_korean_voice17.wav,Korean,Male,ok,,960000,60.0,0.0,2,1
dataset\Spanish\Female\810104301_female_spanish_voice6.mp3,processed_audio\Spanish\Female\810104301_female_spanish_voice6.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\Korean\Male\810104285_male_koren_voice09.mp3,processed_audio\Korean\Male\810104285_male_koren_voice09.wav,Korean,Male,ok,,960000,60.0,0.0,2,1
dataset\German\Male\810101477_male_german_voice17.mp3,processed_audio\German\Male\810101477_male_german_voice17.wav,German,Male,ok,,960000,60.0,1.0416666666666667e-06,0,1
dataset\German\Female\810100200_female_german_voice15.mp3,processed_audio\German\Female\810100200_female_german_voice15.wav,German,Female,ok,,960000,60.0,0.0,0,0
dataset\Korean\Male\810104067_male_korean_voice1.mp3,processed_audio\Korean\Male\810104067_male_korean_voice1.wav,Korean,Male,ok,,960000,60.0,1.0416666666666667e-06,2,1
dataset\Italian\Female\810103147_female_italian_voice2.mp3,processed_audio\Italian\Female\810103147_female_italian_voice2.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\German\Male\810104298_male_german_voice10.mp3,processed_audio\German\Male\810104298_male_german_voice10.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\Spanish\Male\810104303_male_spanish_voice7.mp3,processed_audio\Spanish\Male\810104303_male_spanish_voice7.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\Italian\Male\810103252_male_italian_voice7.mp3,processed_audio\Italian\Male\810103252_male_italian_voice7.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
